,Root,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
Root,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
F,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
J,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
